Content Title,Github Repo,s3 link/drive Link,Youtube Link,Blog created on docs,README updated
Job Application Autofiller agent,https://github.com/Dakshjain1604/Job-Application-AutoFiller-Agent,,,FALSE,TRUE
Drug Reporposing Platform,https://github.com/Dakshjain1604/AI-Powered-Drug-Repurposing-Platform,,,FALSE,TRUE
New Hire Onboarding Tool,https://github.com/dakshjain-1616/New-Hire-OnBoarding-Tool,https://drive.google.com/file/d/1KtPNKP8eDR0WyiOviMY1gT1J7SJ06H8M/view?usp=sharing,,FALSE,TRUE
Landing Page Generator Based on GLM5,https://github.com/dakshjain-1616/GLA5-Landing-Page-tool,https://drive.google.com/file/d/1xIUWFUqmt3hA9CF7pJRZcny9yWqyDB_k/view?usp=sharing,,FALSE,TRUE
Embedding Audit and Analysis,https://github.com/dakshjain-1616/Embedding-Evaluator,https://drive.google.com/file/d/1o5-wW4yWoNtHLi2e9e-0F_NNw8Qqkk-n/view?usp=sharing,https://youtu.be/2YiW3SjyE3c https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/audit-vector-embedding-cli-neo.mp4,FALSE,TRUE
Attention Head Visualiser,https://github.com/dakshjain-1616/Attention-Head-Visualiser,,,FALSE,TRUE
Adversarial Robustness Probe,https://github.com/dakshjain-1616/Adversarial-Robustness-Probe,,,FALSE,TRUE
Neuron Activation Mapper,https://github.com/dakshjain-1616/Neuron-Activation-Mapper,,,FALSE,TRUE
LLM Council,https://github.com/abhishekgandhi-neo/llm_council_by_neo,,,FALSE,TRUE
Intelligent MCP Optimization & Suggestion Agent,https://github.com/abhishekgandhi-neo/MCP_Optimization_Suggestion_Agent_By_NEO,,,FALSE,TRUE
Multi-Agent Observability Platform,https://github.com/abhishekgandhi-neo/MultiAgent_Observability_Platform_by_NEO,,,FALSE,TRUE
Multi-Agent Memory Management System,https://github.com/abhishekgandhi-neo/Multi-Agent_Memory_Management_System_BY_NEO,,,FALSE,TRUE
Latest Top LLM Eval ,https://github.com/dakshjain-1616/Latest-LLMs-Real-Life-Task-Evaluation,,,FALSE,TRUE
Speculative Decoding Benchmarker,https://github.com/dakshjain-1616/Speculative-Decoding-Bench-marker/blob/main/README.md,,,FALSE,FALSE
MOSS-TTS CPU-Optimized Inference Pipeline,https://github.com/dakshjain-1616/MOSS-TTS-CPU-Optimized-Inference-Pipeline,,,FALSE,FALSE
Benchmark: Qwen 3.5 Medium Edition,https://github.com/dakshjain-1616/Benchmark-Qwen-3.5-Medium-Edition,https://drive.google.com/file/d/1ZjuWZBz98j1fEvZaZgedjeBEZMtbFUUg/view?usp=sharing,,FALSE,TRUE
CPU based TTS Streaming LLM Assistant,https://github.com/abhishekgandhi-neo/Low-Latency-CPU-Based-Voice-Assistant,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/llm-kitten-tts-streaming.mp4,,FALSE,FALSE
Query any Github Repo Agent,https://github.com/gauravvij/GithubRepoAgent,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/query-any-git-repo-neo.mp4,,FALSE,FALSE
Spec to Ship Multiagent feature tool,https://github.com/dakshjain-1616/Spec-To-Ship,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/spec-2-to-ship-ai.mp4,,FALSE,FALSE
LLM Evaluator Tool,https://github.com/gauravvij/llm-evaluator,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/llm-evaluator-runtime.mp4,,FALSE,FALSE
Quantization Qwen 3.5 for smaller devices,https://github.com/dakshjain-1616/Qwen-3.5-Quantisation-for-small-devices-,,,FALSE,FALSE
LLM Hardware benchmarking,https://github.com/gauravvij/llm-hardware-benchmarking,,,FALSE,FALSE
Web Search Comparison ,https://github.com/dakshjain-1616/SearchModel-Comparison,,,FALSE,FALSE
AI powered time series forcasting tool ,https://github.com/dakshjain-1616/AI-Powered-Time-Series-Forecasting,,,FALSE,FALSE
