Repo Names / Project Names 	Github Repo	s3 link/drive Link	Youtube Link	Blog created on docs	README updated	hugging face link 
LLM Consistency Monitor	https://github.com/Dakshjain1604/LLM-consistency-Monitor	https://drive.google.com/file/d/1AXrtTIUyiMll5yVvi64MG1zjlSVGcJYW/view?usp=sharing		TRUE	TRUE	
Prompt AB testing tool	https://github.com/Dakshjain1604/Prompt-AB-testing-Tool			TRUE	TRUE	
LLM Response Judge	https://github.com/Dakshjain1604/LLM-response-Judge			TRUE	TRUE	
Stock Trading Swarm 	https://github.com/dakshjain-1616/Stock-trading-Agent-Swarm	https://youtu.be/2c9pnt5i7jU	https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/swarm-trading-agent-neo.mp4	TRUE	TRUE	
Job Application Autofiller agent	https://github.com/Dakshjain1604/Job-Application-AutoFiller-Agent			FALSE	TRUE	
Drug Reporposing Platform	https://github.com/Dakshjain1604/AI-Powered-Drug-Repurposing-Platform			FALSE	TRUE	
New Hire Onboarding Tool	https://github.com/dakshjain-1616/New-Hire-OnBoarding-Tool	https://drive.google.com/file/d/1KtPNKP8eDR0WyiOviMY1gT1J7SJ06H8M/view?usp=sharing		FALSE	TRUE	
Landing Page Generator Based on GLM5	https://github.com/dakshjain-1616/GLA5-Landing-Page-tool	https://drive.google.com/file/d/1xIUWFUqmt3hA9CF7pJRZcny9yWqyDB_k/view?usp=sharing		FALSE	TRUE	
Embedding Audit and Analysis	https://github.com/dakshjain-1616/Embedding-Evaluator	https://drive.google.com/file/d/1o5-wW4yWoNtHLi2e9e-0F_NNw8Qqkk-n/view?usp=sharing	https://youtu.be/2YiW3SjyE3c https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/audit-vector-embedding-cli-neo.mp4	FALSE	TRUE	
Attention Head Visualiser	https://github.com/dakshjain-1616/Attention-Head-Visualiser			FALSE	TRUE	
Adversarial Robustness Probe	https://github.com/dakshjain-1616/Adversarial-Robustness-Probe			FALSE	TRUE	
Neuron Activation Mapper	https://github.com/dakshjain-1616/Neuron-Activation-Mapper			FALSE	TRUE	
LLM Council	https://github.com/abhishekgandhi-neo/llm_council_by_neo			FALSE	TRUE	
Intelligent MCP Optimization & Suggestion Agent	https://github.com/abhishekgandhi-neo/MCP_Optimization_Suggestion_Agent_By_NEO			FALSE	TRUE	
Multi-Agent Observability Platform	https://github.com/abhishekgandhi-neo/MultiAgent_Observability_Platform_by_NEO			FALSE	TRUE	
Multi-Agent Memory Management System	https://github.com/abhishekgandhi-neo/Multi-Agent_Memory_Management_System_BY_NEO			FALSE	TRUE	
Latest Top LLM Eval 	https://github.com/dakshjain-1616/Latest-LLMs-Real-Life-Task-Evaluation			FALSE	TRUE	
Speculative Decoding Benchmarker	https://github.com/dakshjain-1616/Speculative-Decoding-Bench-marker/blob/main/README.md			FALSE	FALSE	
MOSS-TTS CPU-Optimized Inference Pipeline	https://github.com/dakshjain-1616/MOSS-TTS-CPU-Optimized-Inference-Pipeline			FALSE	FALSE	
Benchmark: Qwen 3.5 Medium Edition	https://github.com/dakshjain-1616/Benchmark-Qwen-3.5-Medium-Edition	https://drive.google.com/file/d/1ZjuWZBz98j1fEvZaZgedjeBEZMtbFUUg/view?usp=sharing		FALSE	TRUE	
CPU based TTS Streaming LLM Assistant	https://github.com/abhishekgandhi-neo/Low-Latency-CPU-Based-Voice-Assistant	https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/llm-kitten-tts-streaming.mp4		FALSE	FALSE	
Query any Github Repo Agent	https://github.com/gauravvij/GithubRepoAgent	https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/query-any-git-repo-neo.mp4		FALSE	FALSE	
Spec to Ship Multiagent feature tool	https://github.com/dakshjain-1616/Spec-To-Ship	https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/spec-2-to-ship-ai.mp4		FALSE	FALSE	
LLM Evaluator Tool	https://github.com/gauravvij/llm-evaluator	https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/llm-evaluator-runtime.mp4		FALSE	FALSE	
LLM Hardware benchmarking	https://github.com/gauravvij/llm-hardware-benchmarking			FALSE	FALSE	
Web Search Comparison 	https://github.com/dakshjain-1616/SearchModel-Comparison			FALSE	FALSE	
AI powered time series forcasting tool 	https://github.com/dakshjain-1616/AI-Powered-Time-Series-Forecasting	https://drive.google.com/file/d/1nb0nGiplGww5zZqm6HBof82FthnbnD-S/view?usp=sharing		FALSE	FALSE	
Hallucination Benchmark tool 	https://github.com/dakshjain-1616/Hallucination-Benchmark-Tool			FALSE	FALSE	
Autonomous eXaminer of Integrity and Moral Operations	https://github.com/dakshjain-1616/AXIOM---Autonomous-eXaminer-of-Integrity-and-Moral-Operations			FALSE	FALSE	
Autonomous Documentation Agent	https://github.com/dakshjain-1616/AutoDoc---Autonomous-Documentation-Agent			FALSE	FALSE	
GPU Scout	https://github.com/NeoResearchAI/gpu-scout	https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/gpu-scout.mp4		FALSE	FALSE	
Sarvam 30 B Quantized	https://huggingface.co/daksh-neo/sarvam-30b-quantized			FALSE	FALSE	
System Anamoly Detection with Voice Alerts	https://github.com/dakshjain-1616/-System-Anomaly-Detection-with-Voice-Alerts			FALSE	FALSE	
Website Vulnerability Check with AI explanation	https://github.com/dakshjain-1616/nuclei-ai	https://drive.google.com/file/d/1D3987098q4QV94gIYKeKHA6HqBWnEYH6/view?usp=sharing		FALSE	FALSE	
Autonomous Research framework	https://github.com/dakshjain-1616/HypothesisEngine---Autonomous-Research-Framework			FALSE	FALSE	
PyForge-AI-powered Python CLI	https://github.com/dakshjain-1616/PyForge-AI-powered-Python-CLI			FALSE	FALSE	
Dependency 3-d visualiser	https://github.com/dakshjain-1616/Orbit-dependency-visualised	https://drive.google.com/file/d/1xkFHTGdeP6xwF9q3dHLl3_VWBqa9LNQZ/view?usp=sharing		FALSE	FALSE	
Omnicoder 9b Benchmarking 	https://github.com/dakshjain-1616/OmniCoder-9B-Benchmark-			FALSE	FALSE	
Helix Self healing CI CD agent 	https://github.com/dakshjain-1616/Helix-Self-Healing-CI-CD-Agent			FALSE	FALSE	
JSON Studio 	https://github.com/dakshjain-1616/JSON-AI-Studio			FALSE	FALSE	
Grok Multiagent Sim	https://github.com/dakshjain-1616/grok-multiagent-simulator			FALSE	FALSE	
Agent Factory GUI	https://github.com/dakshjain-1616/Agent-Factory-GUI			FALSE	FALSE	
Multi agent LLM collaboration Sandbox	https://github.com/dakshjain-1616/-Multi-Agent-LLM-Collaboration-Sandbox			FALSE	FALSE	
Fintrade BenchCLI	https://github.com/dakshjain-1616/FinTradeBench-CLI			FALSE	FALSE	
CascadeRL optimizer	https://github.com/dakshjain-1616/CascadeRL-Optimizer			FALSE	FALSE	
ScreenShot2SQL	https://github.com/dakshjain-1616/screenshot2sql			FALSE	FALSE	
Videoseek-Cli	https://github.com/dakshjain-1616/videoseek-cli			FALSE	FALSE	
cacheCow	https://github.com/dakshjain-1616/cachecow			FALSE	FALSE	
Mistral Small 4 chatbot	https://github.com/dakshjain-1616/mistral-small-4-chatbot			FALSE	FALSE	
minimax-m2-7-codegen	https://github.com/dakshjain-1616/minimax-m2-7-codegen			FALSE	FALSE	
Lumosx-personalizer - ai generated intro video	https://github.com/dakshjain-1616/lumosx-personalizer			FALSE	FALSE	
arxiv-paper-to-podcast	https://github.com/dakshjain-1616/arxiv-paper-to-podcast			FALSE	FALSE	
Schema Infer AI 	https://github.com/dakshjain-1616/schemainfer-ai			FALSE	FALSE	
worldCache-CLI	https://github.com/dakshjain-1616/worldcache-cli			FALSE	FALSE	
VLouvain – Fast scalable clustering	https://github.com/dakshjain-1616/vlouvain			FALSE	FALSE	
nemotron3-super-vs-gpt54-nano	https://github.com/dakshjain-1616/nemotron3-super-vs-gpt54-nano			FALSE	FALSE	
PromptFight	https://github.com/dakshjain-1616/promptfight			FALSE	FALSE	
LLM Consistency Across Gpt minimax and qwen	https://github.com/dakshjain-1616/llm-consistency-across-Minimax-Qwen-and-Gpt-			FALSE	FALSE	
acervo-extractor-qwen3-5-9b-gguf-4-2gb-quantization	https://github.com/dakshjain-1616/acervo-extractor-qwen3-5-9b-gguf-4-2gb-quantization			FALSE	FALSE	
tensortrust	https://github.com/dakshjain-1616/tensortrust			FALSE	FALSE	
gguf-serve	https://github.com/dakshjain-1616/gguf-serve			FALSE	FALSE	
vissparse	https://github.com/dakshjain-1616/vissparse			FALSE	FALSE	
Stochastic-Gap-Audit	https://github.com/dakshjain-1616/stochastic-gap-audit			FALSE	FALSE	
nemotron-attention-vis	https://github.com/dakshjain-1616/nemotron-attention-vis			FALSE	FALSE	
Markdown Agent	https://github.com/dakshjain-1616/markdown-agent			FALSE	FALSE	
Patch Duel	https://github.com/dakshjain-1616/patchduel-local-llm-code-repair			FALSE	FALSE	
Gumbel-MCTS-CLI	https://github.com/dakshjain-1616/gumbel-mcts-cli			FALSE	FALSE	
Sql-trust-lens	https://github.com/dakshjain-1616/sql-trust-lens			FALSE	FALSE	
cot-surgeon	https://github.com/dakshjain-1616/cot-surgeon			FALSE	FALSE	
llm-sla-gatekeeper	https://github.com/dakshjain-1616/llm-sla-gatekeeper			FALSE	FALSE	
Agent Memory Benchmark comparision	https://github.com/dakshjain-1616/agent-memory-benchmark_comparision			FALSE	FALSE	
Context Aggregator	https://github.com/dakshjain-1616/ambient-context-aggregator			FALSE	FALSE	
Self Extending Skill Agent	https://github.com/dakshjain-1616/self-extending-skill-agent			FALSE	FALSE	
mobile llm benchmark suite	https://github.com/dakshjain-1616/mobile-llm-benchmark-suite			FALSE	FALSE	
Autonomous ML Research Loop	https://github.com/dakshjain-1616/autonomous-ml-research-loop			FALSE	FALSE	
Oasis Crisis Simulation lab	https://github.com/dakshjain-1616/oasis-social-simulation-lab			FALSE	FALSE	
Contrastive-prompt-opt	https://github.com/dakshjain-1616/contrastive-prompt-opt			FALSE	FALSE	
GRPO Tax Qwen GGUF Models	https://github.com/dakshjain-1616/GRPO-Tax-Qwen-GGUF-Models			FALSE	FALSE	https://huggingface.co/daksh-neo/grpo-tax-qwen-3b-gguf
turboQCli	https://github.com/dakshjain-1616/turboQcli			FALSE	FALSE	
context-cost-map	https://github.com/dakshjain-1616/Context-cost-map			FALSE	FALSE	
nerualucb-router	https://github.com/dakshjain-1616/neuralucb-router			FALSE	FALSE	
Latency Surgeon	https://github.com/dakshjain-1616/latency-surgeon			FALSE	FALSE	
Gemma-4-26B vs Qwen 3.5 27B	https://github.com/dakshjain-1616/Gemma-4-26B-MoE-vs-Qwen-3.5-27B			FALSE	FALSE	
gemma 4 Quantization 	https://github.com/dakshjain-1616/gemma4-quantization			FALSE	FALSE	
Agentic Loop stability eval 	https://github.com/dakshjain-1616/agentic-loop-stability-eval			FALSE	FALSE	
Assert Drift 	https://github.com/dakshjain-1616/AssertDrift			FALSE	FALSE	
Qwen to gemma Math fine tuning 	https://github.com/dakshjain-1616/qwen-to-gemma-math			FALSE	FALSE	
PrePush Gurdian	https://github.com/dakshjain-1616/prepush-guardian			FALSE	FALSE	
issues to file finetune 	https://github.com/dakshjain-1616/issue-to-files-finetune			FALSE	FALSE	
Postmartem-finetune	https://github.com/dakshjain-1616/postmortem-finetune			FALSE	FALSE	
Context Audit	https://github.com/dakshjain-1616/Context-Audit			FALSE	FALSE	
q-heatmap	https://github.com/dakshjain-1616/q-heatmap			FALSE	FALSE	
routing-sanity	https://github.com/dakshjain-1616/routing-sanity			FALSE	FALSE	
infra-sizer	https://github.com/dakshjain-1616/infra-sizer			FALSE	FALSE	
kg-extract	https://github.com/dakshjain-1616/kg-extract			FALSE	FALSE	
sft-auditor	https://github.com/dakshjain-1616/sft-auditor			FALSE	FALSE	
synth-forge	https://github.com/dakshjain-1616/synth-forge			FALSE	FALSE	
watermark-forge	https://github.com/dakshjain-1616/watermark-forge			FALSE	FALSE	
RAG pipeline stress tester	https://github.com/dakshjain-1616/RAG-pipeline-stress-tester			FALSE	FALSE	
Fine tune dataset quality scorer	https://github.com/dakshjain-1616/Fine-tune-Dataset-Quality-Scorer			FALSE	FALSE	
Ai Api failover router	https://github.com/dakshjain-1616/AI-API-Failover-Router			FALSE	FALSE	
Gemma 4 vision studio	https://github.com/dakshjain-1616/gemma-4-vision-studio			FALSE	FALSE	
Ai Slop Cleaner 	https://github.com/dakshjain-1616/Ai_Slop_Cleaner			FALSE	FALSE	
claude gen setup 	https://github.com/dakshjain-1616/Claude_gen_setup			FALSE	FALSE	
llm-cache	https://github.com/dakshjain-1616/llm-cache			FALSE	FALSE	
Cache Augmented Generation 	https://github.com/dakshjain-1616/Cache-Augmented-Generation-CAG-System			FALSE	FALSE	
Prompt Compression Benchmark	https://github.com/dakshjain-1616/Prompt-Compression-Benchmarker			FALSE	FALSE	
LLM Eval Suite ( GPT 5.4 vs Opus 4.7) 	https://github.com/dakshjain-1616/LLM-Evaluation-Suite			FALSE	FALSE	
Moe cost analysis 	https://github.com/dakshjain-1616/MoE-Cost-Analyzer			FALSE	FALSE	
Neural tts	https://github.com/gauravvij/neural_tts			FALSE	FALSE	
